"","X.1","X","pID","eID","oID","internalID","Effect.description","origDirection","Observed.difference.in.replication.","origN","repN","testReported","What.statistical.test.was.reported.","Statistical.test.applied.to.original.data","Original.test.statistic.type","Original.test.statistic.value","Original.df1","Original.df2","Original.p.value","Replication.statistical.test","Replication.test.statistic.type","Replication.test.statistic.value","Replication.df1","Replication.df2","Replication.p.value","Was.original.data.representative.","origRawDiff","Replication.raw.difference..if.original.reported.representative.data.","Replication.raw.difference.type..mean.or.median.","Replication.raw.diference.standard.error","Replication.raw.difference.lower.CI","Replication.raw.difference.upper.CI","Effect.size.type","Original.effect.size","Original.standard.error","Original.lower.CI","Original.upper.CI","Replication.effect.size","Replication.standard.error","Replication.lower.CI","Replication.upper.CI","Meta.analysis.effect.size","Meta.analysis.lower.CI","Meta.analysis.upper.CI","Meta.analysis.p.value","repDirection","Statistical.test.applied.to.original.data..SMD.","Original.test.statistic.type..SMD.","Original.test.statistic.value..SMD.","origdf1","origdf2","origPval","Replication.statistical.test..SMD.","Replication.test.statistic.type..SMD.","Replication.test.statistic.value..SMD.","repdf1","repdf2","repPval","repRawDiff","Replication.raw.difference.type..mean.or.median...SMD.","Replication.raw.diference.standard.error..SMD.","Replication.raw.difference.lower.CI..SMD.","Replication.raw.difference.upper.CI..SMD.","EStype","origES","origSE","origESLo","origESHi","repES","repSE","repESLo","repESHi","Meta.analysis.effect.size..SMD.","Meta.analysis.lower.CI..SMD.","Meta.analysis.upper.CI..SMD.","Meta.analysis.p.value..SMD.","Notes.x","Original.paper.figure","Was.experiment.originally.identified.by.RP.CB.team","Did.experiment.continue.after.sharing.with.labs..before.submitting.protocol.to.eLife.","Did.the.experiment.protocol.get.submitted.to.eLife","Did.the.experiment.protocol.get.accepted.and.published.in.eLife","infoNeeded","infoQuality","Data.shared.by.original.authors","Code.shared.by.original.authors","Key.materials.asked.to.be.shared","materialsSharedProse","Key.materials.shared","expType","What.types.of.experimental.techniques.were.utilized.","What.category.of.experimental.techniques.were.utilized.","Number.of.lab.s..contracted.for.the.experiment","labsContracted","Registered.Report.protocol","Experiment.description","Original.sample.number..reported.","Replication.sample.number..power.","Replication.sample.number..reported.","Replication.experiment.attempted","Replication.experiment.completed","If.experiment.incomplete..why.","changesNeededRaw","If.modifications.were.needed.for.experiment.to.proceed..what.were.they.","changesSuccess","If.modifications.unable.to.be.fully.implemented..why.","Replication.study.figure","Were.materials.shippped.between.replicating.labs.","If.a.material.was.shipped.between.replicating.labs..what.was.it.","Was.the.original.experiment.blinded.","Was.the.replication.experiment.blinded.","Was.the.original.experiment.randomized.","Was.the.replication.experiment.randomized.","Was.the.original.experiment.sample.size.determined.a.priori.","Was.the.replication.experiment.sample.size.determined.a.priori.","Was.a.statistical.test.reported.in.the.original.paper..y","What.statistical.test.s..was.reported.","Was.variation.of.biological.repeats.reported.in.the.original.experiment.","Notes.y","Original.paper.title","Year","Original.paper.journal","Number.of.original.authors","OSF.project.link","Draft.protocol.shared.with.original.authors.date","Budget.per.paper.at.project.onset.when.originally.identified.by.RP.CB.team","Anticipated.budget.when.Registered.Report.manuscript.ready.for.submission.to.eLife","Anticipated.budget.when.Registered.Report.accepted.and.published.in.eLife","Actual.budget.at.completion.of.replication.attempt","Registered.Report.submission.date","Registered.Report.acceptance.date","Link.to.Registered.Report","Experimental.work.start.date","Experimental.work.end.date","Replication.study.fully.completed","If.Replication.study.incomplete..why.","Replication.study.submission.date","Replication.study.acceptance.date","Link.to.Replication.study","Did.original.authors.respond.to.any.emails.","Did.the.original.paper.have.a.potential.conflict.of.issue.statement.","Did.the.replication.study.have.a.potential.conflict.of.issue.statement.","Number.of.lab.s..contracted.for.the.entire.paper","Contracted.lab.s..for.the.entire.paper","Notes","repSignif","origSignif","changes","changes_a..GTE.moderate.success","changes_b..LT.moderate.success","changes_c..No.changes.needed","materialsShared","materialsShared_a.No","materialsShared_b.Yes","materialsShared_c..Not.requested","hasCROLab","hasCoreLab","expAnimal","quantPair","peoID","nInternal","peID","origES2","ES2type","origESLo2","origESHi2","repES2","repESLo2","repESHi2","origSE2","repSE2","origVar2","repVar2","origES3","origESLo3","origESHi3","repES3","repESLo3","repESHi3","origSE3","repSE3","origVar3","repVar3","discrep","badCI"
"91",91,91,9,2,3,1,"Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (450 culture)","Positive","Null-positive",18,18,"No",NA,"Chi-square test","chi-squared",101.8046,NA,1,6.127699e-24,"Chi-square test","chi-squared",1.959781,NA,1,0.1615367,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.1010307,0.0727393,-0.0411666,0.2392165,0.3763132,0.3135471,0.4358053,1.41163e-27,"Null-positive","Student's t test","t",3.827803,NA,16,0.001483146,"Student's t test","t",1.160366,NA,16,0.2629216,NA,NA,NA,NA,NA,"Cohen's d",1.804444,0.603713,0.6723695,2.897745,0.5470018,0.5104108,-0.4040087,1.481726,1.103265,0.5646868,1.641843,5.946052e-05,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o3",3,"p9e2",1.804444,"Cohen's d",0.6723695,2.897745,0.5470018,-0.4040087,1.481726,0.603713,0.481063610064888,0.364469386369,0.231422196928662,1.804444,0.6723695,2.897745,0.5470018,-0.4040087,1.481726,0.567708263405215,0.481063610064888,0.322292672338565,0.231422196928662,0.0193867500000002,FALSE
"92",92,92,9,2,3,2,"Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (CSC1 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",101.8046,NA,1,6.127699e-24,"Chi-square test","chi-squared",4.181534,NA,1,0.04086671,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.1475765,0.0727393,0.006095581,0.283265095,0.3763132,0.3135471,0.4358053,1.41163e-27,"Null-positive","Student's t test","t",3.827803,NA,16,0.001483146,"Student's t test","t",1.689046,NA,16,0.1105999,NA,NA,NA,NA,NA,"Cohen's d",1.804444,0.603713,0.6723695,2.897745,0.7962237,0.5218123,-0.1787391,1.748474,1.103265,0.5646868,1.641843,5.946052e-05,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o3",3,"p9e2",1.804444,"Cohen's d",0.6723695,2.897745,0.7962237,-0.1787391,1.748474,0.603713,0.49164502899074,0.364469386369,0.241714834531305,1.804444,0.6723695,2.897745,0.7962237,-0.1787391,1.748474,0.567708263405215,0.49164502899074,0.322292672338565,0.241714834531305,0.0193867500000002,FALSE
"93",93,93,9,2,3,3,"Clonogenic frequency between TOP-GFPlow vs TOP-GFPlow + MFCM (Co100 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",101.8046,NA,1,6.127699e-24,"Chi-square test","chi-squared",28.74343,NA,1,8.262956e-08,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.7281706,0.0727393,0.6539994,0.7884753,0.3869178,0.0727393,0.2595293,0.501072,0.3763132,0.3135471,0.4358053,1.41163e-27,"Positive","Student's t test","t",3.827803,NA,16,0.001483146,"Student's t test","t",3.290811,NA,16,0.004607628,NA,NA,NA,NA,NA,"Cohen's d",1.804444,0.603713,0.6723695,2.897745,1.551303,0.5784505,0.4665006,2.599882,1.103265,0.5646868,1.641843,5.946052e-05,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o3",3,"p9e2",1.804444,"Cohen's d",0.6723695,2.897745,1.551303,0.4665006,2.599882,0.603713,0.544239949516379,0.364469386369,0.296197122649591,1.804444,0.6723695,2.897745,1.551303,0.4665006,2.599882,0.567708263405215,0.544239949516379,0.322292672338565,0.296197122649591,0.0193867500000002,FALSE
"94",94,94,9,2,4,1,"Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (450 culture)","Positive","Null-positive",18,18,"No",NA,"Chi-square test","chi-squared",153.1947,NA,1,3.473082e-35,"Chi-square test","chi-squared",0.3763904,NA,1,0.5395414,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.04427603,0.0727393,-0.09794637,0.18472612,0.4806511,0.4239907,0.5335636,4.957346e-47,"Null-positive","Student's t test","t",3.849805,NA,16,0.001415907,"Student's t test","t",0.5812176,NA,16,0.5691919,NA,NA,NA,NA,NA,"Cohen's d",1.814815,0.604805,0.6807097,2.910062,0.2739886,0.5026322,-0.6589354,1.198508,0.8144881,0.2927061,1.33627,0.00221742,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o4",3,"p9e2",1.814815,"Cohen's d",0.6807097,2.910062,0.2739886,-0.6589354,1.198508,0.604805,0.473846309077941,0.365789088025,0.224530324626788,1.814815,0.6807097,2.910062,0.2739886,-0.6589354,1.198508,0.568722771842964,0.473846309077941,0.323445591212744,0.224530324626788,0.0194291500000001,FALSE
"95",95,95,9,2,4,2,"Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (CSC1 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",153.1947,NA,1,3.473082e-35,"Chi-square test","chi-squared",33.95346,NA,1,5.644608e-09,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.4205246,0.0727393,0.2965775,0.5305394,0.4806511,0.4239907,0.5335636,4.957346e-47,"Null-positive","Student's t test","t",3.849805,NA,16,0.001415907,"Student's t test","t",1.27164,NA,16,0.2216755,NA,NA,NA,NA,NA,"Cohen's d",1.814815,0.604805,0.6807097,2.910062,0.5994567,0.5124776,-0.3560243,1.537228,0.8144881,0.2927061,1.33627,0.00221742,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o4",3,"p9e2",1.814815,"Cohen's d",0.6807097,2.910062,0.5994567,-0.3560243,1.537228,0.604805,0.482981400406776,0.365789088025,0.233271033138891,1.814815,0.6807097,2.910062,0.5994567,-0.3560243,1.537228,0.568722771842964,0.482981400406776,0.323445591212744,0.233271033138891,0.0194291500000001,FALSE
"96",96,96,9,2,4,3,"Clonogenic frequency between TOP-GFPlow + HGF vs TOP-GFPlow + HGF + PHA (Co100 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",153.1947,NA,1,3.473082e-35,"Chi-square test","chi-squared",5.129223,NA,1,0.02352626,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.8932464,0.0727393,0.8604814,0.9186533,0.1634463,0.0727393,0.02235546,0.29815375,0.4806511,0.4239907,0.5335636,4.957346e-47,"Null-positive","Student's t test","t",3.849805,NA,16,0.001415907,"Student's t test","t",1.859094,NA,16,0.08150512,NA,NA,NA,NA,NA,"Cohen's d",1.814815,0.604805,0.6807097,2.910062,0.8763851,0.5263096,-0.1076967,1.83588,0.8144881,0.2927061,1.33627,0.00221742,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o4",3,"p9e2",1.814815,"Cohen's d",0.6807097,2.910062,0.8763851,-0.1076967,1.83588,0.604805,0.495819493452606,0.365789088025,0.245836970087598,1.814815,0.6807097,2.910062,0.8763851,-0.1076967,1.83588,0.568722771842964,0.495819493452606,0.323445591212744,0.245836970087598,0.0194291500000001,FALSE
"97",97,97,9,2,5,1,"Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (450 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",185.8525,NA,1,2.556765e-42,"Chi-square test","chi-squared",60.99928,NA,1,5.709579e-15,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.5636529,0.0727393,0.4586533,0.6531297,0.7481509,0.7150583,0.777898,2.600095e-156,"Null-positive","Student's t test","t",3.093882,NA,16,0.006968599,"Student's t test","t",0.9868876,NA,16,0.3383877,NA,NA,NA,NA,NA,"Cohen's d",1.45847,0.5698966,0.3898237,2.492059,0.4652233,0.5075519,-0.4794464,1.39589,0.9694525,0.4421454,1.49676,0.0003140963,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o5",3,"p9e2",1.45847,"Cohen's d",0.3898237,2.492059,0.4652233,-0.4794464,1.39589,0.5698966,0.478410933770318,0.32478213469156,0.228877021550988,1.45847,0.3898237,2.492059,0.4652233,-0.4794464,1.39589,0.536294369841019,0.478410933770318,0.287611651123175,0.228877021550988,0.01752865,FALSE
"98",98,98,9,2,5,2,"Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (CSC1 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",185.8525,NA,1,2.556765e-42,"Chi-square test","chi-squared",43.54637,NA,1,4.140322e-11,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.4762394,0.0727393,0.3588305,0.5788129,0.7481509,0.7150583,0.777898,2.600095e-156,"Null-positive","Student's t test","t",3.093882,NA,16,0.006968599,"Student's t test","t",1.533779,NA,16,0.1446188,NA,NA,NA,NA,NA,"Cohen's d",1.45847,0.5698966,0.3898237,2.492059,0.7230303,0.5180528,-0.2441951,1.66934,0.9694525,0.4421454,1.49676,0.0003140963,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,FALSE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o5",3,"p9e2",1.45847,"Cohen's d",0.3898237,2.492059,0.7230303,-0.2441951,1.66934,0.5698966,0.488155679158832,0.32478213469156,0.23829596709502,1.45847,0.3898237,2.492059,0.7230303,-0.2441951,1.66934,0.536294369841019,0.488155679158832,0.287611651123175,0.23829596709502,0.01752865,FALSE
"99",99,99,9,2,5,3,"Clonogenic frequency between TOP-GFPlow + MFCM vs TOP-GFPlow + MFCM + PHA (Co100 culture)","Positive","Positive",18,18,"No",NA,"Chi-square test","chi-squared",185.8525,NA,1,2.556765e-42,"Chi-square test","chi-squared",17.63768,NA,1,2.672413e-05,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.9838607,0.0727393,0.9785927,0.9878403,0.3030889,0.0727393,0.1687222,0.4263963,0.7481509,0.7150583,0.777898,2.600095e-156,"Positive","Student's t test","t",3.093882,NA,16,0.006968599,"Student's t test","t",2.98532,NA,16,0.008743097,NA,NA,NA,NA,NA,"Cohen's d",1.45847,0.5698966,0.3898237,2.492059,1.407293,0.5653548,0.3472648,2.432964,0.9694525,0.4421454,1.49676,0.0003140963,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,TRUE,TRUE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o5",3,"p9e2",1.45847,"Cohen's d",0.3898237,2.492059,1.407293,0.3472648,2.432964,0.5698966,0.532075899468493,0.32478213469156,0.283104762795206,1.45847,0.3898237,2.492059,1.407293,0.3472648,2.432964,0.536294369841019,0.532075899468493,0.287611651123175,0.283104762795206,0.01752865,FALSE
"100",100,100,9,2,6,1,"Clonogenic frequency between TOP-GFPwhole vs TOP-GFPwhole + PHA (450 culture)","Null","Negative",18,18,"No",NA,"Chi-square test","chi-squared",0.2123054,NA,1,0.6449664,"Chi-square test","chi-squared",68.26947,NA,1,1.426116e-16,"No",NA,NA,NA,NA,NA,NA,"Cohen's w",0.03325293,0.0727393,-0.108868,0.1740417,-0.5962971,0.0727393,-0.6804479,-0.496624,-0.0690953,-0.139571734,0.002077624,0.0570616,"Negative","Student's t test","t",0.3204523,NA,16,0.7527726,"Student's t test","t",-3.122543,NA,16,0.006562441,NA,NA,NA,NA,NA,"Cohen's d",0.1510626,0.5008016,-0.776664,1.074123,-1.471981,0.5711165,-2.507701,-0.4010245,-0.2702242,-0.8164442,0.2759958,0.3322324,"methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies, but unclear if this was done in original study; effect size recalculated for meta-analysis","6D","Yes","Yes","Yes","Yes",3,3,0,3,"Cells","Cells","Cells","Cell-based","viral transduction,cell culture,cell isolation,FACS,microscopy (fluorescence)","cell,immuno",2,"CRO11,CRO12","1,3","Clonogenicity of TOP-GFP CSC cultures","18.0",18,18,"Yes","Yes",NA,1,"CSCs were going to be generated, but one ended up needing to be commercially sourced due to low efficiency rate",5,NA,"2.0","Yes","Cells",NA,NA,NA,NA,NA,NA,"Yes","Chi-square test","Yes","Methods state statistical significance were evaluated with the ELDA 'limdil' function, which does Chisquare tests for stem cell frequencies.","Wnt activity defines colon cancer stem cells and is regulated by the microenvironment.",2010,"Nature Cell Biology",15,"https://osf.io/pgjhx/","2014-09-17",25000,25500,70500,126870,42066,42217,"https://elifesciences.org/articles/07301",42251,43271,"Yes",NA,43488,43623,"https://elifesciences.org/articles/45426","Yes","Yes","Yes",3,"CRO11,CRO12,CRO13",NA,TRUE,FALSE,"a. GTE moderate success",1,0,0,"b.Yes",0,1,0,TRUE,FALSE,FALSE,TRUE,"p9e2o6",3,"p9e2",0.1510626,"Cohen's d",-0.776664,1.074123,-1.471981,-2.507701,-0.4010245,0.5008016,0.537427349843465,0.25080224256256,0.288828156359771,0.1510626,-0.776664,1.074123,-1.471981,-2.507701,-0.4010245,0.472148216650605,0.537427349843465,0.222923938486347,0.288828156359771,0.00233309999999998,FALSE
