Paper #,Experiment #,Effect #,Internal replication #,Effect description,Expected difference based on the original paper?,Observed difference in replication?,Original sample size,Replication sample size,Was a statistical test reported in the original paper?,What statistical test was reported?,Statistical test applied to original data,Original test statistic type,Original test statistic value,Original df1,Original df2,Original p value,Replication statistical test,Replication test statistic type,Replication test statistic value,Replication df1,Replication df2,Replication p value,Was original data representative?,Original point difference (for representative data),Replication raw difference (if original reported representative data),Replication raw difference type (mean or median),Replication raw diference standard error,Replication raw difference lower CI,Replication raw difference upper CI,Effect size type,Original effect size,Original standard error,Original lower CI,Original upper CI,Replication effect size,Replication standard error,Replication lower CI,Replication upper CI,Meta-analysis effect size,Meta-analysis lower CI,Meta-analysis upper CI,Meta-analysis p value,Observed difference in replication? (SMD),Statistical test applied to original data (SMD),Original test statistic type (SMD),Original test statistic value (SMD),Original df1 (SMD),Original df2 (SMD),Original p value (SMD),Replication statistical test (SMD),Replication test statistic type (SMD),Replication test statistic value (SMD),Replication df1 (SMD),Replication df2 (SMD),Replication p value (SMD),Replication raw difference (if original reported representative data) (SMD),Replication raw difference type (mean or median) (SMD),Replication raw diference standard error (SMD),Replication raw difference lower CI (SMD),Replication raw difference upper CI (SMD),Effect size type (SMD),Original effect size (SMD),Original standard error (SMD),Original lower CI (SMD),Original upper CI (SMD),Replication effect size (SMD),Replication standard error (SMD),Replication lower CI (SMD),Replication upper CI (SMD),Meta-analysis effect size (SMD),Meta-analysis lower CI (SMD),Meta-analysis upper CI (SMD),Meta-analysis p value (SMD),Notes
1,3,6,1,PTENP1 mRNA expression between siLuc and siPTEN+siPTENP1,Positive,Positive,6,10,Yes,Student's t test,Student's t test,t,4.014579,NA,4,0.01593591,Student's t test,t,2.556429,NA,8,0.03383443,No,NA,NA,NA,NA,NA,NA,Cohen's d,3.27789,1.736262,0.5188403,5.931193,1.616828,0.8391836,0.1176913,3.045573,1.93138,0.4505105,3.4122502,0.01058148,Positive,Student's t test,t,4.014579,NA,4,0.01593591,Student's t test,t,2.556429,NA,8,0.03383443,NA,NA,NA,NA,NA,Cohen's d,3.27789,1.736262,0.5188403,5.931193,1.616828,0.8391836,0.1176913,3.045573,1.93138,0.4505105,3.4122502,0.01058148,"methods state unpaired t-test, assumed to be Student's t-test; Cohen's d is used here while the Replication study reported Glass' delta"
1,4,1,1,PTEN protein expression between siLuc and siPTEN,Positive,Positive,unknown,10,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.611165,NA,NA,0.007936508,Yes,0.5,0.6496768,Median,NA,0.2226116,1.3143976,Cliff's delta,NA,NA,NA,NA,1,0.03,0.8490597,1,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,3.46343,NA,8,0.008524676,0.6594741,Mean,0.1904107,0.2203863,1.0985619,Cohen's d,NA,NA,NA,NA,2.190466,0.9353366,0.5248194,3.779824,NA,NA,NA,NA,
1,4,2,1,PTEN protein expression between siLuc and siPTENP1,Positive,Null-positive,unknown,10,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,1.775592,NA,NA,0.0952381,Yes,0.4,0.3455878,Median,NA,-0.08930177,1.01123865,Cliff's delta,NA,NA,NA,NA,0.68,0.03,-0.1638394,0.9491919,NA,NA,NA,NA,Null-positive,NA,NA,NA,NA,NA,NA,Student's t test,t,1.995068,NA,8,0.08113376,0.3508349,Mean,0.1758511,-0.05467854,0.75634842,Cohen's d,NA,NA,NA,NA,1.261792,0.7901799,-0.1498648,2.611393,NA,NA,NA,NA,
1,4,3,1,PTEN protein expression between siLuc and siPTEN+siPTENP1,Positive,Positive,unknown,10,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.611165,NA,NA,0.007936508,Yes,0.9,0.7095809,Median,NA,0.5017397,1.3743017,Cliff's delta,NA,NA,NA,NA,1,0.03,0.8490597,1,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,5.324702,NA,8,0.0007070226,0.8278985,Mean,0.1554826,0.469355,1.186442,Cohen's d,NA,NA,NA,NA,3.367637,1.177291,1.292413,5.371075,NA,NA,NA,NA,
1,4,4,1,PTEN protein expression between siPTEN+siPTENP1 and siPTEN,Positive,Null-positive,unknown,10,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,1.357806,NA,NA,0.2222222,Yes,0.4,0.1129835,Median,NA,-0.1955307,0.4869693,Cliff's delta,NA,NA,NA,NA,0.52,0.3878144,-0.3223693,0.9027654,NA,NA,NA,NA,Null-positive,NA,NA,NA,NA,NA,NA,Student's t test,t,1.384138,NA,8,0.2037017,0.1684244,Mean,0.1216818,-0.1121744,0.4490232,Cohen's d,NA,NA,NA,NA,0.8754056,0.7482446,-0.4579955,2.160781,NA,NA,NA,NA,
1,4,5,1,PTEN protein expression between siPTEN+siPTENP1 and siPTENP1,Positive,Positive,unknown,10,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.611165,NA,NA,0.007936508,Yes,0.5,0.3779703,Median,NA,0.3209874,0.7988827,Cliff's delta,NA,NA,NA,NA,1,0.03,0.8490597,1,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,4.901316,NA,8,0.001191787,0.4770636,Mean,0.09733378,0.2526115,0.7015157,Cohen's d,NA,NA,NA,NA,3.099864,1.118354,1.123929,5.001893,NA,NA,NA,NA,
1,5,1,1,PTENP1 mRNA expression between pCMV and PTEN 3'UTR,Positive,Null-negative,6,6,Yes,Student's t test,Student's t test,t,5.603317864,NA,4,0.004981447,Student's t test,t,-0.4572643,NA,4,0.6712144,No,NA,NA,NA,NA,NA,NA,Cohen's d,4.57509,2.219154,1.110656,7.977567,-0.3733547,1.012984,-1.971197,1.268137,0.4799412,-1.326197,2.28608,0.6024943,Null-negative,Student's t test,t,5.603317864,NA,4,0.004981447,Student's t test,t,-0.4572643,NA,4,0.6712144,NA,NA,NA,NA,NA,Cohen's d,4.57509,2.219154,1.110656,7.977567,-0.3733547,1.012984,-1.971197,1.268137,0.4799412,-1.326197,2.28608,0.6024943,"methods state unpaired t-test, assumed to be Student's t-test"
1,6,1,1,DU145 cell proliferation between pCMV and PTEN 3'UTR,Positive,Positive,6,6,No,NA,Student's t test,t,19.85322,NA,4,3.80E-05,Student's t test,t,9.248205,NA,4,0.000759987,No,NA,NA,NA,NA,NA,NA,Cohen's d,16.21008,7.090048,5.49337,27.15589,7.551127,3.419234,2.318417,12.81552,9.652992,2.376767,16.929217,0.009317403,Positive,Student's t test,t,19.85322,NA,4,3.80E-05,Student's t test,t,9.248205,NA,4,0.000759987,NA,NA,NA,NA,NA,Cohen's d,16.21008,7.090048,5.49337,27.15589,7.551127,3.419234,2.318417,12.81552,9.652992,2.376767,16.929217,0.009317403,
5,1,1,1,Tie2 expression in GSC83 vs HMVEC cells,Positive,Positive,4,5,No,NA,contrast of between-subjects ANOVA,t,69.32522,NA,3,6.61E-06,contrast of between-subjects ANOVA,t,2.757139,NA,5,0.03997007,No,NA,NA,NA,NA,NA,NA,Cohen's d,83.68295,59.18968,13.27957,155.2538,2.516912,1.774421,-0.1761535,5.0607545,2.589792,-0.8864471,6.066031,0.1442434,Positive,contrast of between-subjects ANOVA,t,69.32522,NA,3,6.61E-06,contrast of between-subjects ANOVA,t,2.757139,NA,5,0.03997007,NA,NA,NA,NA,NA,Cohen's d,83.68295,59.18968,13.27957,155.2538,2.516912,1.774421,-0.1761535,5.0607545,2.589792,-0.8864471,6.066031,0.1442434,
5,1,2,1,Tie2 expression in U87MG vs HMVEC cells,Positive,Positive,4,6,No,NA,contrast of between-subjects ANOVA,t,70.23696,NA,3,6.36E-06,contrast of between-subjects ANOVA,t,3.06384,NA,5,0.02797935,No,NA,NA,NA,NA,NA,NA,Cohen's d,84.78352,59.96768,13.45515,157.295,2.501615,1.474242,0.1266746,4.750934,2.551313,-0.3372749,5.4399017,0.08343102,Positive,contrast of between-subjects ANOVA,t,70.23696,NA,3,6.36E-06,contrast of between-subjects ANOVA,t,3.06384,NA,5,0.02797935,NA,NA,NA,NA,NA,Cohen's d,84.78352,59.96768,13.45515,157.295,2.501615,1.474242,0.1266746,4.750934,2.551313,-0.3372749,5.4399017,0.08343102,
5,1,3,1,Tie2 expression in GSC83 vs U87MG cells,Null,Null-negative,4,5,No,NA,contrast of between-subjects ANOVA,t,0.9117415,NA,3,0.4291293,contrast of between-subjects ANOVA,t,-0.01675784,NA,5,0.9872779,No,NA,NA,NA,NA,NA,NA,Cohen's d,1.100569,1.614195,-1.193241,3.20752,-0.01529775,1.178539,-1.803326,1.775138,0.3726999,-1.492874,2.238274,0.6953856,Null-negative,contrast of between-subjects ANOVA,t,0.9117415,NA,3,0.4291293,contrast of between-subjects ANOVA,t,-0.01675784,NA,5,0.9872779,NA,NA,NA,NA,NA,Cohen's d,1.100569,1.614195,-1.193241,3.20752,-0.01529775,1.178539,-1.803326,1.775138,0.3726999,-1.492874,2.238274,0.6953856,
6,1,1,1,Colony number of GNAO1-WT HMEC cells vs GNAO1-R243H HMEC cells,Positive,Positive,4,6,Yes,Student's t test,Student's t test,t,6.409596,NA,2,0.02348687,Student's t test,t,5.288382,NA,4,0.006135204,No,NA,NA,NA,NA,NA,NA,Cohen's d,6.409596,4.747785,0.5256721,12.56598,4.317946,2.120347,0.9980206,7.567011,4.665753,0.8711692,8.4603375,0.01595528,Positive,Student's t test,t,6.409596,NA,2,0.02348687,Student's t test,t,5.288382,NA,4,0.006135204,NA,NA,NA,NA,NA,Cohen's d,6.409596,4.747785,0.5256721,12.56598,4.317946,2.120347,0.9980206,7.567011,4.665753,0.8711692,8.4603375,0.01595528,Sample size of original study shared by original authors
7,1,1,1,"pERK levels in A375 cells treated with vehicle vs all three drug treatments (PD184352, sorafenib, and SB590885)",Positive,Positive,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.396565,NA,NA,0.009090909,Yes,97.85055,118.9198,Median,NA,29.36897,150.73487,Cliff's delta,NA,NA,NA,NA,0.9259259,0.07407407,0.6262562,0.9872088,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,3.732887,NA,10,0.003891822,88.31128,Mean,23.65764,35.59878,141.02378,Cohen's d,NA,NA,NA,NA,2.488591,0.951272,0.7599172,4.144795,NA,NA,NA,NA,
7,1,2,1,pERK levels in D04 cells treated with vehicle vs PD184352 and sorafenib,Positive,Positive,unknown,9,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.363516,NA,NA,0.02380952,Yes,87.79468,86.13508,Median,NA,24.82747,124.86927,Cliff's delta,NA,NA,NA,NA,1,0.0496904,0.7476669,1,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,4.991649,NA,7,0.001580078,84.6456,Mean,16.95744,44.54762,124.74357,Cohen's d,NA,NA,NA,NA,3.529629,1.336782,1.208686,5.766746,NA,NA,NA,NA,
7,1,3,1,pERK levels in D04 cells treated with vehicle vs SB590885,Positive,Null-positive,unknown,6,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,1.963961,NA,NA,0.1,Yes,405.7034,0.7850712,Median,NA,-73.06611,43.42513,Cliff's delta,NA,NA,NA,NA,0.1111111,0.5879447,-0.7078907,0.8026747,NA,NA,NA,NA,Null-negative,NA,NA,NA,NA,NA,NA,Student's t test,t,0.374621,NA,4,0.7269574,-9.618637,Mean,25.67565,-80.90566,61.66838,Cohen's d,NA,NA,NA,NA,-0.3058768,1.008733,-1.901168,1.325483,NA,NA,NA,NA,
8,1,1,1,IC50 values of PLX4720 A375 cells vs PLX4720 HCT116 and MeWo cells,Positive,Positive,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.60206,1.839029,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.839029,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,1,2,1,IC50 values of GDC-0879 A375 cells vs GDC-0879 HCT116 and MeWo cells,Positive,Positive,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1.823909,1.847683,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.847683,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,1,3,1,IC50 values of PD0325901 A375 cells vs PLX4720 and GDC-0879 A375 cells,Null,Null,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,0.6953946,0.440272,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.440272,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,1,4,1,IC50 values of PD0325901 HCT116 cells vs PLX4720 and GDC-0879 HCT116 cells,Positive,Positive,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2.045757,2.158321,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.158321,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,1,5,1,IC50 values of PD0325901 MeWo cells vs PLX4720 and GDC-0879 MeWo cells,Positive,Positive,unknown,12,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2.408935,1.516184,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.516184,Mean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,2,1,1,pMEK/MEK levels between -shBRAF and +shBRAF cells treated with PLX4720,Null,Null-negative,unknown,42,No,NA,NA,NA,NA,NA,NA,NA,contrast of between-subjects ANOVA,t,-0.07143023,NA,80,0.9432336,Yes,0.3387838,-0.01385344,Mean,0.2068302,-0.4318728,0.4041659,Cohen's d,NA,NA,NA,NA,-0.02204385,0.3162379,-0.6267837,0.5829707,NA,NA,NA,NA,Null-negative,NA,NA,NA,NA,NA,NA,contrast of between-subjects ANOVA,t,-0.07143023,NA,80,0.9432336,-0.01385344,Mean,0.2068302,-0.4318728,0.4041659,Cohen's d,NA,NA,NA,NA,-0.02204385,0.3162379,-0.6267837,0.5829707,NA,NA,NA,NA,
8,2,2,1,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with PLX4720,Positive,Positive,unknown,42,No,NA,NA,NA,NA,NA,NA,NA,contrast of between-subjects ANOVA,t,3.657943,NA,80,0.0004538276,Yes,0.9910164,0.7094346,Mean,0.1801376,0.345363,1.073506,Cohen's d,NA,NA,NA,NA,1.128866,0.3416514,0.4696089,1.775986,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,contrast of between-subjects ANOVA,t,3.657943,NA,80,0.0004538276,0.7094346,Mean,0.1801376,0.345363,1.073506,Cohen's d,NA,NA,NA,NA,1.128866,0.3416514,0.4696089,1.775986,NA,NA,NA,NA,
8,2,3,1,pMEK/MEK levels between -shBRAF and +shBRAF cells treated with GDC-0879,Null,Positive,unknown,42,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,2.253265,NA,NA,0.02424242,Yes,3.71194,0.4439601,Median,NA,0.0388647,1.0099663,Cliff's delta,NA,NA,NA,NA,0.4058957,0.1522292,0.65311503,0.08048876,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,Student's t test,t,2.609033,NA,40,0.01270933,0.8988359,Mean,0.3445092,0.2025568,1.595115,Cohen's d,NA,NA,NA,NA,0.6494824,0.3248638,0.024366,1.266912,NA,NA,NA,NA,
8,2,4,1,pMEK/MEK levels between -shCRAF and +shCRAF cells treated with GDC-0879,Positive,Null-positive,unknown,42,No,NA,NA,NA,NA,NA,NA,NA,Mann-Whitney,z,0.6671679,NA,NA,0.5046649,Yes,0.3460416,0.1335532,Median,NA,-0.3234275,0.7075629,Cliff's delta,NA,NA,NA,NA,0.1201814,0.1714764,-0.2107559,0.4264033,NA,NA,NA,NA,Null-positive,NA,NA,NA,NA,NA,NA,Student's t test,t,0.5990227,NA,40,0.5525355,0.2778109,Mean,0.4637736,-0.6595105,1.2151324,Cohen's d,NA,NA,NA,NA,0.1604268,0.3167614,-0.4464418,0.7653028,NA,NA,NA,NA,
9,1,1,1,CD133 expression between TOP-GFPlow vs TOP-GFPhigh (450 culture),Positive,Positive,unknown,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,original study reported representive data from an unknown number independent experiments.
9,1,1,2,CD133 expression between TOP-GFPlow vs TOP-GFPhigh (CSC1 culture),Positive,Positive,unknown,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,original study reported representive data from an unknown number independent experiments.
9,1,1,3,CD133 expression between TOP-GFPlow vs TOP-GFPhigh (Co100 culture),Positive,Positive,unknown,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,original study reported representive data from an unknown number independent experiments.
